date,state,positive,negative,pending,hospitalizedCurrently,recovered,death
20200417,AK,309,9141,,,128,9
20200417,AL,4530,33318,,,,144
20200417,AR,1695,21799,,83,593,37
20200417,AS,0,3,17,,,
20200417,AZ,4507,44723,,566,539,169
20200417,CA,27528,224086,7200,4892,,985
20200417,CO,8675,33155,,,,374
20200417,CT,16809,38653,,1946,,1036
20200417,DC,2476,10167,,313,573,86
20200417,DE,2323,11694,,224,423,61
20200417,FL,24119,210718,1285,,,699
20200417,GA,17194,54490,,,,650
20200417,GU,136,940,,6,97,5
20200417,HI,541,21316,,,374,9
20200417,IA,2332,19460,,183,1007,64
20200417,ID,1609,14574,,,390,41
20200417,IL,27575,102588,,4454,,1134
20200417,IN,10154,44631,,,,519
20200417,KS,1705,15196,,,,84
20200417,KY,2429,27318,,477,956,129
20200417,LA,23118,108869,,1868,,1213
20200417,MA,34402,114342,,3729,,1404
20200417,MD,11572,50437,,,736,425
20200417,ME,827,14076,,55,352,29
20200417,MI,30023,68936,,3674,629,2227
20200417,MN,2071,40982,,223,1066,111
20200417,MO,5283,46434,,1043,,165
20200417,MP,13,42,4,,,2
20200417,MS,3793,34791,,,,140
20200417,MT,422,9822,,21,233,8
20200417,NC,5859,67122,,429,,152
20200417,ND,439,11903,,16,172,9
20200417,NE,1066,12038,,,,24
20200417,NH,1287,11421,174,74,455,37
20200417,NJ,78467,78982,,8011,,3840
20200417,NM,1597,32891,,90,353,44
20200417,NV,3524,26238,,,,142
20200417,NY,229642,343581,,17156,23887,12822
20200417,OH,8858,68819,,,,418
20200417,OK,2465,31155,,325,1331,136
20200417,OR,1785,34536,,301,,70
20200417,PA,29441,117932,,2603,,756
20200417,PR,1068,7864,1478,,,58
20200417,RI,4177,26584,,252,196,118
20200417,SC,3931,32353,,,,109
20200417,SD,1411,9651,0,,457,7
20200417,TN,6589,80684,,,3017,142
20200417,TX,17371,152165,,1522,4190,428
20200417,UT,2805,52966,,,443,23
20200417,VA,7491,41506,499,1308,1110,231
20200417,VI,51,373,34,,46,2
20200417,VT,779,11337,,32,15,35
20200417,WA,11152,117748,,622,,583
20200417,WI,4045,42365,198,361,,205
20200417,WV,754,17927,,85,223,13
20200417,WY,296,6131,,19,148,2
20200416,AK,300,8435,,,110,9
20200416,AL,4345,32046,,,,133
20200416,AR,1620,21055,,85,548,37
20200416,AS,0,3,17,,,
20200416,AZ,4234,43164,,578,460,150
20200416,CA,26182,220218,13200,5031,,890
20200416,CO,8280,32253,,,,357
20200416,CT,15884,37238,,1926,,971
20200416,DC,2350,9800,,313,552,81
20200416,DE,2075,11275,,209,378,52
